trade_id,entry_time,exit_time,position_type,entry_price,exit_price,pnl,duration
554,2025-05-06 13:15:00,2025-05-06 13:16:00,SHORT,93759.21,93759.11,1.0665618876889082e-06,0.016666666666666666
555,2025-05-06 13:18:00,2025-05-06 13:19:00,SHORT,93778.17,93791.52,-0.00014235722450124395,0.016666666666666666
556,2025-05-06 13:20:00,2025-05-06 13:21:00,SHORT,93815.88,93781.44,0.00036710203006146,0.016666666666666666
557,2025-05-06 13:23:00,2025-05-06 13:24:00,SHORT,93826.32,93845.98,-0.00020953608752841355,0.016666666666666666
558,2025-05-06 13:26:00,2025-05-06 13:27:00,SHORT,93866.5,93760.59,0.0011283045601998955,0.016666666666666666
559,2025-05-06 13:31:00,2025-05-06 13:32:00,SHORT,93761.91,93780.85,-0.000202001004459085,0.016666666666666666
560,2025-05-06 13:33:00,2025-05-06 13:34:00,SHORT,93803.99,93737.01,0.000714042121236106,0.016666666666666666
561,2025-05-06 13:35:00,2025-05-06 13:36:00,SHORT,93800.12,93795.62,4.797435227161757e-05,0.016666666666666666
562,2025-05-06 13:39:00,2025-05-06 13:40:00,SHORT,93832.02,93894.22,-0.0006628867203327509,0.016666666666666666
563,2025-05-06 13:41:00,2025-05-06 13:42:00,SHORT,93930.12,93971.51,-0.00044064672758854583,0.016666666666666666
564,2025-05-06 13:47:00,2025-05-06 13:48:00,SHORT,93797.16,93827.71,-0.00032570282511755054,0.016666666666666666
565,2025-05-06 13:55:00,2025-05-06 13:57:00,SHORT,93541.75,93660.46,-0.0012690590030655445,0.03333333333333333
566,2025-05-06 14:00:00,2025-05-06 14:01:00,SHORT,93777.35,94037.37,-0.0027727377666354348,0.016666666666666666
567,2025-05-06 14:02:00,2025-05-06 14:03:00,LONG,94006.35,93991.26,-0.00016052107118307495,0.016666666666666666
568,2025-05-06 14:06:00,2025-05-06 14:07:00,LONG,93925.3,93893.12,-0.00034261269327867536,0.016666666666666666
569,2025-05-06 14:14:00,2025-05-06 14:15:00,LONG,94046.37,94097.85,0.000547389548368645,0.016666666666666666
570,2025-05-06 14:23:00,2025-05-06 14:24:00,LONG,94560.01,94485.81,-0.0007846868882522019,0.016666666666666666
571,2025-05-06 14:25:00,2025-05-06 14:26:00,LONG,94407.17,94350.59,-0.000599318886478662,0.016666666666666666
572,2025-05-06 14:30:00,2025-05-06 14:31:00,LONG,94280.72,94241.53,-0.00041567353325263457,0.016666666666666666
573,2025-05-06 14:36:00,2025-05-06 14:37:00,LONG,94335.32,94304.01,-0.00033190113734720165,0.016666666666666666
574,2025-05-06 14:41:00,2025-05-06 14:42:00,LONG,94274.09,94276.41,2.4609094609207947e-05,0.016666666666666666
575,2025-05-06 14:45:00,2025-05-06 14:46:00,LONG,94184.0,94229.04,0.00047821285993367873,0.016666666666666666
576,2025-05-06 14:50:00,2025-05-06 14:53:00,LONG,94310.02,94143.71,-0.001763439346105511,0.05
577,2025-05-06 14:55:00,2025-05-06 14:56:00,LONG,94102.5,94108.12,5.9722111527274444e-05,0.016666666666666666
578,2025-05-06 15:04:00,2025-05-06 15:05:00,LONG,94241.6,94224.94,-0.00017677968115994945,0.016666666666666666
579,2025-05-06 15:06:00,2025-05-06 15:07:00,LONG,94184.0,94228.57,0.0004732226280473009,0.016666666666666666
580,2025-05-06 15:08:00,2025-05-06 15:09:00,LONG,94122.83,94086.91,-0.0003816289841688595,0.016666666666666666
581,2025-05-06 15:27:00,2025-05-06 15:28:00,LONG,94483.76,94494.9,0.00011790385988025264,0.016666666666666666
582,2025-05-06 15:31:00,2025-05-06 15:32:00,LONG,94473.43,94495.72,0.0002359393535304916,0.016666666666666666
583,2025-05-06 15:42:00,2025-05-06 15:43:00,LONG,94623.99,94592.46,-0.0003332135962560745,0.016666666666666666
584,2025-05-06 15:47:00,2025-05-06 15:48:00,LONG,94565.61,94597.8,0.00034039858675899545,0.016666666666666666
585,2025-05-06 15:51:00,2025-05-06 15:52:00,LONG,94540.01,94537.93,-2.2001266976825435e-05,0.016666666666666666
586,2025-05-06 15:53:00,2025-05-06 15:54:00,LONG,94507.01,94504.38,-2.7828623506236254e-05,0.016666666666666666
587,2025-05-06 15:58:00,2025-05-06 15:59:00,LONG,94560.87,94558.95,-2.0304381717281723e-05,0.016666666666666666
588,2025-05-06 16:01:00,2025-05-06 16:02:00,LONG,94532.21,94538.41,6.558611080812656e-05,0.016666666666666666
589,2025-05-06 16:03:00,2025-05-06 16:04:00,LONG,94474.94,94514.29,0.000416512569364863,0.016666666666666666
590,2025-05-06 16:06:00,2025-05-06 16:07:00,LONG,94463.8,94452.72,-0.00011729360876866848,0.016666666666666666
591,2025-05-06 16:09:00,2025-05-06 16:10:00,LONG,94388.03,94429.2,0.0004361781891199366,0.016666666666666666
592,2025-05-06 16:15:00,2025-05-06 16:17:00,LONG,94704.77,94736.5,0.00033504120225407786,0.03333333333333333
593,2025-05-06 16:19:00,2025-05-06 16:21:00,LONG,94687.83,94504.51,-0.0019360460578725586,0.03333333333333333
594,2025-05-06 16:22:00,2025-05-06 16:23:00,LONG,94485.79,94523.49,0.00039900179698991396,0.016666666666666666
595,2025-05-06 16:24:00,2025-05-06 16:25:00,LONG,94450.39,94475.85,0.0002695595010248915,0.016666666666666666
596,2025-05-06 16:32:00,2025-05-06 16:33:00,LONG,94537.21,94631.7,0.000999500619914536,0.016666666666666666
597,2025-05-06 16:39:00,2025-05-06 16:40:00,LONG,94609.52,94630.68,0.00022365613946660905,0.016666666666666666
598,2025-05-06 16:41:00,2025-05-06 16:42:00,LONG,94598.66,94597.3,-1.4376524995180503e-05,0.016666666666666666
599,2025-05-06 16:44:00,2025-05-06 16:45:00,LONG,94472.01,94450.8,-0.00022451094244731166,0.016666666666666666
600,2025-05-06 16:49:00,2025-05-06 16:50:00,LONG,94389.35,94338.52,-0.0005385141438096749,0.016666666666666666
601,2025-05-06 16:55:00,2025-05-06 16:57:00,LONG,94333.03,94269.04,-0.0006783414038540397,0.03333333333333333
602,2025-05-06 17:04:00,2025-05-06 17:05:00,LONG,94299.57,94442.0,0.0015103992520855928,0.016666666666666666
603,2025-05-06 17:06:00,2025-05-06 17:07:00,LONG,94337.88,94396.72,0.0006237155212730719,0.016666666666666666
604,2025-05-06 17:11:00,2025-05-06 17:12:00,LONG,94408.67,94447.05,0.00040653045954364847,0.016666666666666666
605,2025-05-06 17:21:00,2025-05-06 17:22:00,LONG,94581.51,94580.5,-1.06786199543099e-05,0.016666666666666666
606,2025-05-06 17:23:00,2025-05-06 17:24:00,LONG,94529.78,94599.99,0.0007427289051133558,0.016666666666666666
607,2025-05-06 17:37:00,2025-05-06 17:39:00,LONG,94782.45,94736.51,-0.0004846888849149007,0.03333333333333333
608,2025-05-06 17:41:00,2025-05-06 17:42:00,LONG,94719.5,94711.81,-8.118708396900668e-05,0.016666666666666666
609,2025-05-06 17:43:00,2025-05-06 17:45:00,LONG,94646.57,94547.86,-0.0010429326704602861,0.03333333333333333
610,2025-05-06 17:46:00,2025-05-06 17:47:00,LONG,94501.02,94568.15,0.000710362702963313,0.016666666666666666
611,2025-05-06 17:48:00,2025-05-06 17:49:00,LONG,94535.33,94533.44,-1.9992525545734255e-05,0.016666666666666666
612,2025-05-06 17:51:00,2025-05-06 17:52:00,LONG,94562.78,94584.26,0.00022715068232972768,0.016666666666666666
613,2025-05-06 17:53:00,2025-05-06 17:54:00,LONG,94560.01,94555.81,-4.441623895764277e-05,0.016666666666666666
