,symbol,timestamp,open,high,low,close,volume,trade_count,vwap,SMA21,Position,Returns,Strategy
135,BTC/USD,2023-05-15 05:00:00+00:00,27295.72,27652.0,26866.0,27120.7,2820.540943284,76358.0,27316.180213963,28331.93918459833,-1,-0.00643492628135256,0.00643492628135256
136,BTC/USD,2023-05-16 05:00:00+00:00,27115.44,27532.8442195,26900.0,27073.53,2181.423104539,72324.0,27062.8918110549,28271.13916078881,-1,-0.001739261892207855,0.001739261892207855
137,BTC/USD,2023-05-17 05:00:00+00:00,27073.53,27825.1524185955,26555.0,27301.5605,2547.094692315,77379.0,27064.0875130385,28184.594422693575,-1,0.008422636427536379,-0.008422636427536379
138,BTC/USD,2023-05-18 05:00:00+00:00,27296.2,27700.9485590955,26405.7,26882.266955,2874.320505672,86709.0,26990.0918248507,28058.17094436024,-1,-0.015357860038806237,0.015357860038806237
139,BTC/USD,2023-05-19 05:00:00+00:00,26885.83,27552.7953040955,26633.6,26876.1295,1606.162198457,64269.0,26892.3338910049,27937.083411238804,-1,-0.0002283086843186677,0.0002283086843186677
140,BTC/USD,2023-05-20 05:00:00+00:00,26876.99,27646.5288740955,26828.3,27133.713,1056.129258714,36530.0,27048.2834629347,27836.307218759288,-1,0.009584099525938194,-0.009584099525938194
141,BTC/USD,2023-05-21 05:00:00+00:00,27131.51,27465.3422301955,26556.7,26715.26376789,1929.028952869,58953.0,26812.0769445309,27746.713842230238,-1,-0.015421746080604648,0.015421746080604648
142,BTC/USD,2023-05-22 05:00:00+00:00,26713.72,27430.0,26700.1,27370.0,2315.176264175,91689.0,26970.7562645043,27717.562603830476,-1,0.024507945637315842,-0.024507945637315842
143,BTC/USD,2023-05-23 05:00:00+00:00,27370.0,27740.4085590955,26473.0,26840.6373747,1941.70494492,89943.0,27180.737433609,27635.651621673333,-1,-0.019340980098648153,0.019340980098648153
144,BTC/USD,2023-05-24 05:00:00+00:00,26842.26,26900.8824665945,25919.52,26264.798075585,2762.950786499,80112.0,26421.781225025,27497.865103452856,-1,-0.021454009868550505,0.021454009868550505
